,Unnamed: 0,id,title,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1446,1589,ts41154,Paquita Salas,SHOW,2016,26,8.0,3087.0,8.8,7.1
1448,1591,ts41899,Nightmare Teacher,SHOW,2016,16,7.1,423.0,5.984,8.4
1449,1592,ts82327,Три кота,SHOW,2015,5,6.8,95.0,1.92,8.0
1452,1595,ts35505,Old Money,SHOW,2015,47,7.3,493.0,3.098,6.3
1456,1600,ts56221,Rainbow Ruby,SHOW,2016,11,6.5,77.0,6.616,10.0
1458,1602,ts38812,Fearless,SHOW,2016,43,7.1,299.0,2.313,8.0
1463,1607,ts43341,Atelier,SHOW,2015,69,6.3,7.0,4.985,7.8
1466,1611,ts38769,Chelsea,SHOW,2016,57,6.1,2051.0,19.427,5.1
1467,1612,ts42155,Home: Adventures with Tip & Oh,SHOW,2016,21,5.9,603.0,7.217,7.0
1469,1615,ts52981,White Rabbit Project,SHOW,2016,48,6.9,1665.0,4.026,7.0
1470,1617,ts52825,The Princess Weiyoung,SHOW,2016,45,7.9,767.0,8.08,7.2
1471,1619,ts42260,Chelsea Does,SHOW,2016,60,7.3,2471.0,4.073,6.5
1472,1620,ts43119,Real Rob,SHOW,2015,31,6.4,2801.0,6.72,6.0
1476,1624,ts127430,StoryBots Super Songs,SHOW,2016,21,8.8,167.0,0.878,9.0
1499,1648,ts52950,Miss in Kiss,SHOW,2016,36,7.7,98.0,4.001,8.0
1506,1656,ts78442,Coach Snoop,SHOW,2016,29,6.8,583.0,2.274,7.8
1510,1660,ts42347,Word Party,SHOW,2016,20,5.7,349.0,7.049,8.3
1517,1667,ts51367,Trailer Park Boys: Out of the Park: Europe,SHOW,2016,30,7.0,2285.0,7.035,6.2
1523,1673,ts21876,My Sunshine,SHOW,2015,45,6.6,185.0,9.643,6.5
1526,1676,ts55556,A Touch of Green,SHOW,2015,46,8.4,314.0,7.483,9.0
1531,1681,ts75897,Kulipari: An Army of Frogs,SHOW,2016,24,6.9,254.0,6.244,7.4
